totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
780000;898;18150;0;1290;
781000;900;17997;0;1464;
782000;885;18163;0;1376;
783000;901;18654;0;1249;
784000;896;18259;0;939;
785000;919;18295;0;1053;
786000;889;18263;0;1370;
787000;899;18638;0;1460;
788000;904;18222;0;1201;
789000;885;18306;0;1497;
790000;913;18431;0;1126;
791000;907;18198;0;1442;
792000;886;18112;0;1623;
793000;896;18290;0;1184;
794000;902;18424;0;1334;
795000;895;18487;0;1355;
796000;897;18339;0;1458;
797000;895;18088;0;1179;
798000;885;18395;0;1317;
799000;892;18443;0;1271;
800000;894;18276;0;1541;
801000;896;18237;0;1312;
802000;872;18450;0;1485;
803000;900;18261;0;1277;
804000;875;17837;0;1184;
805000;878;17884;0;1563;
806000;908;18396;0;1177;
807000;900;18293;0;1566;
808000;880;18302;0;1730;
809000;908;18101;0;1107;
810000;894;18190;0;1493;
811000;901;17853;0;1507;
812000;888;18193;0;1322;
813000;896;18398;0;1455;
814000;906;18152;0;1171;
815000;884;17887;0;1749;
816000;892;18348;0;1548;
817000;903;18345;0;1347;
818000;889;18437;0;1454;
819000;907;18071;0;961;
820000;885;17844;0;1738;
821000;894;18066;0;1105;
822000;888;18005;0;1806;
823000;889;18232;0;1534;
824000;902;18262;0;1114;
825000;899;18425;0;1160;
826000;890;18358;0;1605;
827000;885;18473;0;1314;
828000;902;18163;0;1010;
829000;913;18280;0;969;
830000;892;18099;0;1370;
831000;885;18199;0;1649;
832000;902;18298;0;1415;
833000;885;18305;0;1479;
834000;891;18244;0;1344;
835000;914;18170;0;982;
836000;891;18238;0;1093;
837000;912;18267;0;1211;
838000;903;18413;0;1339;
839000;899;18005;0;1531;
840000;899;18338;0;1392;
841000;899;19012;0;1212;
842000;896;18389;0;1342;
843000;903;18211;0;1317;
844000;899;18083;0;1459;
845000;898;18386;0;1615;
846000;910;18573;0;1010;
847000;879;18381;0;1270;
848000;876;18087;0;1613;
849000;905;18125;0;966;
850000;873;17786;0;1588;
851000;908;18424;0;1498;
852000;907;18362;0;1135;
853000;895;18032;0;1572;
854000;902;18318;0;1297;
855000;894;18094;0;1414;
856000;904;18206;0;1372;
857000;907;18373;0;1244;
858000;903;18453;0;1319;
859000;892;18062;0;1070;
860000;898;18224;0;1338;
861000;901;18296;0;1339;
862000;904;18280;0;1165;
863000;897;18091;0;1357;
864000;904;18461;0;1231;
865000;904;18652;0;1212;
866000;890;18122;0;1376;
867000;878;18682;0;2113;
868000;891;18406;0;1282;
869000;903;18546;0;1179;
870000;897;18099;0;1259;
871000;895;18040;0;1393;
872000;899;18084;0;1102;
873000;895;18359;0;1344;
874000;901;18539;0;1441;
875000;907;18253;0;1095;
876000;928;18400;0;793;
877000;894;18707;0;1333;
878000;904;18535;0;1105;
879000;925;18597;0;1005;
880000;891;18255;0;1574;
881000;901;18092;0;901;
882000;897;18382;0;1417;
883000;898;18456;0;1308;
884000;888;18077;0;1055;
885000;901;18218;0;1328;
886000;900;18079;0;1024;
887000;885;17934;0;1804;
888000;898;18130;0;1061;
889000;893;18041;0;1192;
890000;902;18170;0;1371;
891000;913;18348;0;1144;
892000;900;18298;0;1409;
893000;898;18434;0;1462;
894000;893;18205;0;1564;
895000;897;18178;0;1537;
896000;891;18408;0;1503;
897000;913;18563;0;1000;
898000;911;18310;0;1123;
899000;908;18270;0;884;
900000;897;17954;0;1365;
901000;907;18264;0;1235;
902000;902;18199;0;1040;
903000;899;18226;0;1414;
904000;885;18152;0;1499;
905000;890;18326;0;1212;
906000;894;18288;0;1430;
907000;911;18423;0;1020;
908000;895;18253;0;1281;
909000;908;18289;0;1378;
910000;894;18325;0;1589;
911000;882;17961;0;1567;
912000;881;18180;0;1671;
913000;886;17897;0;1999;
914000;900;18414;0;1195;
915000;883;17848;0;1464;
916000;894;18219;0;1708;
917000;893;18132;0;1361;
918000;893;18028;0;1445;
919000;899;18243;0;1301;
920000;892;18259;0;1364;
921000;885;17906;0;1444;
922000;897;18278;0;1550;
923000;887;18232;0;1401;
924000;913;18189;0;1238;
925000;889;18266;0;1292;
926000;897;18492;0;1298;
927000;915;17983;0;1270;
928000;904;17908;0;1411;
929000;896;18205;0;1162;
930000;896;18136;0;1307;
931000;868;17653;0;1708;
932000;903;18406;0;1155;
933000;891;18317;0;1253;
934000;890;18176;0;1705;
935000;898;18049;0;1363;
936000;901;18042;0;1382;
937000;894;18196;0;1388;
938000;894;18645;0;1411;
939000;896;18595;0;1658;
940000;903;18340;0;1065;
941000;893;17918;0;1519;
942000;898;18174;0;1509;
943000;905;18355;0;1398;
944000;916;18728;0;1285;
945000;886;18157;0;1556;
946000;905;18482;0;1458;
947000;899;18269;0;1594;
948000;893;18049;0;1493;
949000;905;18249;0;1157;
950000;877;17851;0;1538;
951000;891;18375;0;1303;
952000;885;18145;0;1807;
953000;904;18200;0;1267;
954000;896;18088;0;1570;
955000;912;18244;0;1174;
956000;888;18160;0;1678;
957000;906;18139;0;1581;
958000;893;18255;0;1392;
959000;914;18236;0;1104;
960000;877;18336;0;1882;
961000;882;18162;0;1457;
962000;904;18069;0;1283;
963000;893;18185;0;1493;
964000;900;18352;0;1044;
965000;889;18536;0;987;
966000;900;18150;0;1374;
967000;908;18375;0;1013;
968000;901;18383;0;1022;
969000;902;18402;0;1128;
970000;902;18213;0;1124;
971000;897;18393;0;1127;
972000;891;18402;0;1335;
973000;900;18213;0;1238;
974000;895;18450;0;1441;
975000;893;18525;0;1266;
976000;874;17944;0;1756;
977000;892;18177;0;1501;
978000;894;18450;0;1647;
979000;896;18378;0;1464;
980000;894;18038;0;1419;
981000;884;18386;0;1571;
982000;890;17819;0;1161;
