totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
257000;306;12556;11862;10037;2022-04-21T23:22:36.855;
258000;322;12794;12116;9731;2022-04-21T23:24:59.056;
259000;306;12422;11728;9959;2022-04-21T23:27:15.112;
260000;297;12396;11693;10482;2022-04-21T23:29:30.562;
261000;280;12666;11946;10317;2022-04-21T23:31:50.285;
262000;328;12837;12166;9587;2022-04-21T23:34:11.628;
263000;313;12475;11788;10035;2022-04-21T23:36:27.755;
264000;307;12742;12048;10160;2022-04-21T23:38:50.414;
265000;313;12686;11999;9598;2022-04-21T23:41:09.382;
266000;337;12279;11617;10428;2022-04-21T23:43:23.229;
267000;309;12502;11810;9953;2022-04-21T23:45:39.719;
268000;312;12646;11959;10251;2022-04-21T23:47:58.504;
269000;313;12866;12178;10092;2022-04-21T23:50:19.213;
270000;284;12309;11594;10870;2022-04-21T23:52:34.144;
271000;318;13054;12371;10040;2022-04-21T23:54:56.530;
272000;284;12379;11664;10289;2022-04-21T23:57:12.024;
273000;317;12736;12052;9774;2022-04-21T23:59:34.026;
274000;347;12509;11856;9741;2022-04-22T00:01:49.320;
275000;310;12349;11659;9775;2022-04-22T00:04:05.840;
276000;319;12611;11930;9983;2022-04-22T00:06:25.039;
277000;305;12497;11803;10119;2022-04-22T00:08:40.648;
278000;310;12649;11958;9740;2022-04-22T00:10:59.415;
279000;306;12825;12131;9800;2022-04-22T00:13:20.789;
280000;330;12468;11798;10035;2022-04-22T00:15:36.325;
281000;297;12648;11946;9849;2022-04-22T00:17:55.699;
282000;302;12517;11818;10387;2022-04-22T00:20:12.704;
283000;328;12455;11783;9802;2022-04-22T00:22:28.277;
284000;296;12711;12007;10313;2022-04-22T00:24:49.192;
285000;323;12960;12283;10076;2022-04-22T00:27:13.116;
286000;343;12648;11991;10542;2022-04-22T00:29:30.863;
287000;285;12277;11563;10957;2022-04-22T00:31:46.806;
288000;327;12660;11986;10254;2022-04-22T00:34:05.731;
289000;317;12340;11657;10510;2022-04-22T00:36:20.767;
290000;298;12410;11708;10183;2022-04-22T00:38:37.274;
291000;292;12321;11613;10971;2022-04-22T00:40:53.862;
292000;304;12222;11527;10163;2022-04-22T00:43:08.520;
293000;318;12490;11807;10100;2022-04-22T00:45:24.624;
294000;337;12818;12155;9795;2022-04-22T00:47:43.929;
295000;364;12839;12203;10238;2022-04-22T00:50:03.229;
296000;317;12160;11477;10751;2022-04-22T00:52:14.834;
